"published","link","site","text","title"
2023-11-08 13:24:12,https://newsmaker.tribunnews.com/2023/11/08/gertakan-otk-bikin-ibu-di-demak-histeris-sebelum-tewas-dibacok-kapak-warga-kaget-bersimbah-darah,tribunnews.com,"TRIBUNNEWSMAKER.COM - Sebelum tewas bersimbah darah, seorang ibu bernama Nur Khayatul Khasanah (38) mendadak histeris ketika mendapatkan gertakan dari Orang Tak diKenal (OTK) di dalam rumahnya di Demak, Jawa TengahWarga setempat sempat kaget mend","GERTAKAN OTK Bikin Ibu di Demak Histeris sebelum Tewas Dibacok Kapak, Warga Kaget: Bersimbah Darah"
2023-11-08 13:23:18,https://www.antaranews.com/berita/3812832/polres-blitar-kakek-bunuh-istri-diduga-karena-cemburu?utm_source=antaranews&utm_medium=desktop&utm_campaign=terkini,antaranews.com,"Blitar (ANTARA) - Aparat Kepolisian Resor Blitar, Jawa Timur menangkap seorang kakek pelaku pembunuhan kepada istrinya di Kecamatan Garum, Kabupaten Blitar, diduga karena cemburu.Kepala Kepolisian Resor Blitar AKBP Anhar Arlia Rangkuti mengemukak",Polres Blitar: Kakek bunuh istri diduga karena cemburu
2023-11-08 13:22:57,https://batamclick.com/08/11/2023/danrem-033-wira-pratama-brigjen-jimmy-watuseke-pimpin-apel-pasukan-pengamanan-pemilu-2024/,batamclick.com,"Batamclick.com, Batam – Danrem 033/Wira Pratama (WP), Brigjen TNI Jimmy Watuseke memimpin apel gelar pasukan dalam rangka kesiapan pengamanan Pemilu 2024.
Pelaksanaan digelar di Dataran Engku Putri Batam Center, Batam, Kepulauan Riau (Kepri), Rab",Danrem 033 Wira Pratama Brigjen Jimmy Watuseke Pimpin Apel Pasukan Pengamanan Pemilu 2024
2023-11-08 13:22:24,https://jateng.tribunnews.com/2023/11/08/pabrik-pengolahan-kayu-di-purbalingga-terbakar-8-mobil-damkar-dikerahkan,tribunnews.com,"Pabrik Pengolahan kayu di Desa Toyareja, Kecamatan Purbalingga, Kabupaten Purbalingga terbakar.
TRIBUNJATENG.COM, PURBALINGGA - Pabrik Pengolahan kayu di Desa Toyareja, Kecamatan Purbalingga, Kabupaten Purbalingga terbakar.
Saat dilakukan pengece","Pabrik Pengolahan Kayu di Purbalingga Terbakar, 8 Mobil Damkar Dikerahkan"
2023-11-08 13:22:06,https://sulbar.tribunnews.com/2023/11/08/bawaslu-mamuju-tengah-gandeng-polisi-dan-satpol-pp-tertibkan-baliho-caleg,tribunnews.com,"Bawaslu dan Satpol PP tertibkan baliho di simpang tiga Polohu Kecamatan Budong-Budong, Mamuju Tengah, Rabu (8/11/2023).
TRIBUN-SULBAR.COM, POLMAN - Badan Pengawas Pemilu (Bawaslu) Mamuju Tengah, Sulawesi Barat (Sulbar) hari ini mulai menertibkan ",Bawaslu Mamuju Tengah Gandeng Polisi dan Satpol PP Tertibkan Baliho Caleg
2023-11-08 13:22:01,https://www.suara.com/lifestyle/2023/11/08/130237/profil-buya-arrazy-hasyim-dakwahnya-soal-palestina-kena-semprot-aktivis-gaza,suara.com,"Profil Buya Arrazy Hasyim, Dakwahnya Soal Palestina Kena Semprot Aktivis Gaza ""Mohon maaf, Ilmu nya tentang isu Palestina baru 1 % itupun banyak yang keliru,"" semprot seorang aktivis Gaza ke sosok Arrazy Hasyim.
Suara.com - Ustaz Arrazy Hasyim ki","Profil Buya Arrazy Hasyim, Dakwahnya Soal Palestina Kena Semprot Aktivis Gaza"
2023-11-08 13:21:59,https://sulsel.suara.com/read/2023/11/08/130329/guru-sdn-13-paguat-kabupaten-pohuwato-dianiaya-orang-tua-siswa,suara.com,"SuaraSulsel.id - Seorang guru SDN 13 Paguat, Kabupaten Pohuwato, Provinsi Gorontalo, bernama Nidya Mbuinga alis Rena menjadi sasaran penganiayaan oleh orang tua siswa berinisial SM (31) saat jam belajar, Selasa (7/11/2023) sekitar pukul 10.00 Wit",Guru SDN 13 Paguat Kabupaten Pohuwato Dianiaya Orang Tua Siswa
2023-11-08 13:21:55,https://jatim.suara.com/read/2023/11/08/131500/bukannya-kerja-pria-asal-surabaya-ini-malah-menjambret-di-sidoarjo,suara.com,"SuaraJatim.id - Bukannya mencari kerja, dua warga Surabaya berinisial Z berusia 33 tahun dan A umur 24 tahun justru menjambret di Sidoarjo.
Kusumo Wahyu Bintoro mengatakan, aksi kedua pelaku dilakukan di Jalan Raya Kemangsen, Balongbendo, Sidoarj","Bukannya Kerja, Pria Asal Surabaya Ini Malah Menjambret di Sidoarjo"
2023-11-08 13:21:54,https://www.suara.com/entertainment/2023/11/08/131834/dibintangi-kim-dong-wook-dan-park-se-wan-intip-sinopsis-drakor-baru-not-very-strong-but-charming-violent-crimes-unit,suara.com,"Dibintangi Kim Dong Wook dan Park Se Wan, Intip Sinopsis Drakor Baru Not Very Strong But Charming Violent Crimes Unit Drama Korea Baru Not Very Strong But Charming Violent Crimes Unit bakal tayang di tahun depan.
Suara.com - Artis Korea, Kim Dong","Dibintangi Kim Dong Wook dan Park Se Wan, Intip Sinopsis Drakor Baru Not Very Strong But Charming Violent Crimes Unit"
2023-11-08 13:20:02,https://www.viva.co.id/berita/nasional/1655377-demo-boikot-produk-pro-israel-di-mcd-mataram-tuntut-evaluasi-gerai-yang-pro-zionis,viva.co.id,"Mataram – Ratusan massa menggelar Aksi Bela Palestina di depan Gerai McD di Jalan Sriwijaya Kota Mataram, Lombok, Rabu 8 November 2023.
Massa menyerukan boikot produk-produk yang disebut berafiliasi dengan Zionis Israel.
Baca Juga : Kepung Gaza, ",Demo Boikot Produk Pro Israel di MCD Mataram Tuntut Evaluasi Gerai yang Pro Zionis
